Contact	BufferOccupancy
32000	0.0604
64000	0.0750
10500	0
42500	0.0661
74500	0.0758
21000	0.0195
53000	0.0727
85000	0.0758
31500	0.0611
63500	0.0750
10000	0
42000	0.0643
74000	0.0755
20500	0.0202
52500	0.0727
84500	0.0758
31000	0.0632
63000	0.0750
9500	0
41500	0.0648
73500	0.0755
20000	0.0208
52000	0.0724
84000	0.0758
30500	0.0633
62500	0.0750
9000	0
41000	0.0620
73000	0.0755
19500	0.0216
51500	0.0718
83500	0.0758
30000	0.0640
62000	0.0750
8500	0
40500	0.0611
72500	0.0753
19000	0.0231
51000	0.0718
83000	0.0758
29500	0.0617
61500	0.0741
8000	0
40000	0.0615
72000	0.0753
18500	0.0250
50500	0.0708
82500	0.0758
29000	0.0633
61000	0.0741
7500	0
39500	0.0630
71500	0.0753
18000	0.0179
50000	0.0708
82000	0.0758
28500	0.0642
60500	0.0741
7000	0
39000	0.0630
71000	0.0753
17500	0.0147
49500	0.0695
81500	0.0758
28000	0.0511
60000	0.0741
6500	0
38500	0.0635
70500	0.0753
17000	0.0083
49000	0.0672
81000	0.0758
27500	0.0533
59500	0.0738
6000	0
38000	0.0640
70000	0.0753
16500	0.0000
48500	0.0680
80500	0.0758
27000	0.0530
59000	0.0738
91000	0.0758
5500	0
37500	0.0609
69500	0.0753
16000	0.0000
48000	0.0689
80000	0.0758
26500	0.0536
58500	0.0738
90500	0.0758
5000	0
37000	0.0609
69000	0.0753
15500	0.0000
47500	0.0689
79500	0.0758
26000	0.0563
58000	0.0738
90000	0.0758
4500	0
36500	0.0614
68500	0.0753
15000	0.0000
47000	0.0687
79000	0.0758
25500	0.0548
57500	0.0738
89500	0.0758
4000	0
36000	0.0614
68000	0.0753
14500	0.0000
46500	0.0691
78500	0.0758
25000	0.0553
57000	0.0735
89000	0.0758
3500	0
35500	0.0631
67500	0.0753
14000	0.0000
46000	0.0688
78000	0.0758
24500	0.0553
56500	0.0733
88500	0.0758
3000	0
35000	0.0637
67000	0.0753
13500	0.0000
45500	0.0669
77500	0.0758
24000	0.0495
56000	0.0733
88000	0.0758
2500	0
34500	0.0637
66500	0.0750
13000	0.0000
45000	0.0674
77000	0.0758
23500	0.0528
55500	0.0730
87500	0.0758
2000	0
34000	0.0606
66000	0.0750
12500	0.0000
44500	0.0687
76500	0.0758
23000	0.0523
55000	0.0730
87000	0.0758
1500	0
33500	0.0592
65500	0.0750
12000	0.0000
44000	0.0680
76000	0.0758
22500	0.0506
54500	0.0730
86500	0.0758
1000	0
33000	0.0598
65000	0.0750
11500	0
43500	0.0651
75500	0.0758
22000	0.0179
54000	0.0730
86000	0.0758
500	0
32500	0.0597
64500	0.0750
11000	0
43000	0.0656
75000	0.0758
21500	0.0184
53500	0.0730
85500	0.0758

