# time  ID  size  fromHost  toHost  TTL  isResponse
300.0000 M1 55514 s20 d0 240 N 
600.0000 M2 68834 s25 d0 240 N 
900.0000 M3 94201 s25 d0 240 N 
1200.0000 M4 77273 s26 d0 240 N 
1500.0000 M5 55873 s29 d0 240 N 
1800.0000 M6 68122 s10 d0 240 N 
2100.0000 M7 50969 s8 d0 240 N 
2400.0000 M8 73257 s26 d0 240 N 
2700.0000 M9 50554 s34 d0 240 N 
3000.0000 M10 74671 s29 d0 240 N 
3300.0000 M11 76283 s26 d0 240 N 
3600.0000 M12 61032 s39 d0 240 N 
3900.0000 M13 54921 s20 d0 240 N 
4200.0000 M14 62010 s27 d0 240 N 
4500.0000 M15 77347 s13 d0 240 N 
4800.0000 M16 63877 s11 d0 240 N 
5100.0000 M17 92401 s32 d0 240 N 
5400.0000 M18 87686 s37 d0 240 N 
5700.0000 M19 75700 s29 d0 240 N 
6000.0000 M20 63541 s27 d0 240 N 
6300.0000 M21 78040 s15 d0 240 N 
6600.0000 M22 62047 s17 d0 240 N 
6900.0000 M23 57927 s33 d0 240 N 
7200.0000 M24 95086 s24 d0 240 N 
7500.0000 M25 56471 s27 d0 240 N 
7800.0000 M26 93107 s40 d0 240 N 
8100.0000 M27 61571 s27 d0 240 N 
8400.0000 M28 70934 s39 d0 240 N 
8700.0000 M29 56872 s29 d0 240 N 
9000.0000 M30 91397 s8 d0 240 N 
9300.0000 M31 66565 s27 d0 240 N 
9600.0000 M32 75016 s26 d0 240 N 
9900.0000 M33 76902 s19 d0 240 N 
10200.0000 M34 90517 s23 d0 240 N 
10500.0000 M35 87290 s38 d0 240 N 
10800.0000 M36 90222 s27 d0 240 N 
11100.0000 M37 78463 s13 d0 240 N 
11400.0000 M38 80040 s18 d0 240 N 
11700.0000 M39 95680 s24 d0 240 N 
12000.0000 M40 73543 s18 d0 240 N 
12300.0000 M41 63205 s13 d0 240 N 
12600.0000 M42 69301 s13 d0 240 N 
12900.0000 M43 54952 s8 d0 240 N 
13200.0000 M44 54050 s40 d0 240 N 
13500.0000 M45 83640 s19 d0 240 N 
13800.0000 M46 55510 s35 d0 240 N 
14100.0000 M47 80182 s8 d0 240 N 
14400.0000 M48 59729 s42 d0 240 N 
14700.0000 M49 56109 s43 d0 240 N 
15000.0000 M50 82211 s12 d0 240 N 
15300.0000 M51 72383 s14 d0 240 N 
15600.0000 M52 96679 s9 d0 240 N 
15900.0000 M53 50314 s8 d0 240 N 
16200.0000 M54 57738 s26 d0 240 N 
16500.0000 M55 68313 s36 d0 240 N 
16800.0000 M56 77290 s19 d0 240 N 
17100.0000 M57 67990 s24 d0 240 N 
17400.0000 M58 89593 s12 d0 240 N 
17700.0000 M59 63054 s35 d0 240 N 
18000.0000 M60 78625 s21 d0 240 N 
18300.0000 M61 70589 s37 d0 240 N 
18600.0000 M62 98641 s12 d0 240 N 
18900.0000 M63 63752 s29 d0 240 N 
19200.0000 M64 81670 s33 d0 240 N 
19500.0000 M65 73274 s31 d0 240 N 
19800.0000 M66 79461 s41 d0 240 N 
20100.0000 M67 99430 s16 d0 240 N 
20400.0000 M68 94772 s36 d0 240 N 
20700.0000 M69 95451 s27 d0 240 N 
21000.0000 M70 98232 s35 d0 240 N 
21300.0000 M71 84614 s30 d0 240 N 
21600.0000 M72 62761 s29 d0 240 N 
21900.0000 M73 58992 s44 d0 240 N 
22200.0000 M74 87538 s28 d0 240 N 
22500.0000 M75 78216 s30 d0 240 N 
22800.0000 M76 98725 s11 d0 240 N 
23100.0000 M77 66892 s31 d0 240 N 
23400.0000 M78 83915 s18 d0 240 N 
23700.0000 M79 50801 s21 d0 240 N 
24000.0000 M80 72441 s16 d0 240 N 
24300.0000 M81 51506 s16 d0 240 N 
24600.0000 M82 88158 s17 d0 240 N 
24900.0000 M83 69988 s35 d0 240 N 
25200.0000 M84 89225 s37 d0 240 N 
25500.0000 M85 52152 s42 d0 240 N 
25800.0000 M86 96711 s19 d0 240 N 
26100.0000 M87 61066 s24 d0 240 N 
26400.0000 M88 68074 s30 d0 240 N 
26700.0000 M89 73287 s37 d0 240 N 
27000.0000 M90 56581 s42 d0 240 N 
27300.0000 M91 96907 s24 d0 240 N 
27600.0000 M92 86051 s43 d0 240 N 
27900.0000 M93 70680 s26 d0 240 N 
28200.0000 M94 84776 s12 d0 240 N 
28500.0000 M95 56467 s44 d0 240 N 
28800.0000 M96 84863 s28 d0 240 N 
29100.0000 M97 75960 s37 d0 240 N 
29400.0000 M98 55987 s31 d0 240 N 
29700.0000 M99 67533 s17 d0 240 N 
30000.0000 M100 76458 s15 d0 240 N 
30300.0000 M101 91380 s42 d0 240 N 
30600.0000 M102 97770 s27 d0 240 N 
30900.0000 M103 60794 s10 d0 240 N 
31200.0000 M104 91919 s18 d0 240 N 
31500.0000 M105 70477 s24 d0 240 N 
31800.0000 M106 83685 s42 d0 240 N 
32100.0000 M107 64267 s36 d0 240 N 
32400.0000 M108 53264 s37 d0 240 N 
32700.0000 M109 99877 s21 d0 240 N 
33000.0000 M110 78171 s11 d0 240 N 
33300.0000 M111 83682 s10 d0 240 N 
33600.0000 M112 82957 s19 d0 240 N 
33900.0000 M113 97168 s30 d0 240 N 
34200.0000 M114 51479 s38 d0 240 N 
34500.0000 M115 66837 s42 d0 240 N 
34800.0000 M116 87610 s12 d0 240 N 
35100.0000 M117 99524 s22 d0 240 N 
35400.0000 M118 62758 s11 d0 240 N 
35700.0000 M119 68779 s19 d0 240 N 
36000.0000 M120 99278 s29 d0 240 N 
36300.0000 M121 98360 s21 d0 240 N 
36600.0000 M122 74679 s42 d0 240 N 
36900.0000 M123 86604 s43 d0 240 N 
37200.0000 M124 64734 s33 d0 240 N 
37500.0000 M125 75128 s27 d0 240 N 
37800.0000 M126 70569 s12 d0 240 N 
38100.0000 M127 50052 s16 d0 240 N 
38400.0000 M128 96950 s33 d0 240 N 
38700.0000 M129 76254 s39 d0 240 N 
39000.0000 M130 90287 s23 d0 240 N 
39300.0000 M131 99504 s32 d0 240 N 
39600.0000 M132 78271 s28 d0 240 N 
39900.0000 M133 92250 s18 d0 240 N 
40200.0000 M134 85199 s26 d0 240 N 
40500.0000 M135 71262 s10 d0 240 N 
40800.0000 M136 60233 s9 d0 240 N 
41100.0000 M137 74219 s38 d0 240 N 
41400.0000 M138 99614 s27 d0 240 N 
41700.0000 M139 83537 s35 d0 240 N 
42000.0000 M140 75299 s28 d0 240 N 
42300.0000 M141 66388 s38 d0 240 N 
42600.0000 M142 90133 s34 d0 240 N 
42900.0000 M143 73483 s29 d0 240 N 
43200.0000 M144 66893 s43 d0 240 N 
