Contact	DroppedMessage
32000	0
64000	45
10500	0
42500	0
74500	79
21000	0
53000	11
85000	112
31500	0
63500	44
10000	0
42000	0
74000	77
20500	0
52500	10
84500	111
31000	0
63000	42
9500	0
41500	0
73500	75
20000	0
52000	8
84000	109
30500	0
62500	41
9000	0
41000	0
73000	74
19500	0
51500	6
83500	108
30000	0
62000	39
8500	0
40500	0
72500	72
19000	0
51000	5
83000	106
29500	0
61500	38
8000	0
40000	0
72000	71
18500	0
50500	4
82500	104
29000	0
61000	36
7500	0
39500	0
71500	69
18000	0
50000	2
82000	103
28500	0
60500	35
7000	0
39000	0
71000	67
17500	0
49500	0
81500	101
28000	0
60000	33
6500	0
38500	0
70500	66
17000	0
49000	0
81000	99
27500	0
59500	31
6000	0
38000	0
70000	64
16500	0
48500	0
80500	97
27000	0
59000	30
91000	120
5500	0
37500	0
69500	63
16000	0
48000	0
80000	96
26500	0
58500	29
90500	120
5000	0
37000	0
69000	61
15500	0
47500	0
79500	94
26000	0
58000	27
90000	120
4500	0
36500	0
68500	60
15000	0
47000	0
79000	93
25500	0
57500	26
89500	120
4000	0
36000	0
68000	58
14500	0
46500	0
78500	91
25000	0
57000	24
89000	120
3500	0
35500	0
67500	57
14000	0
46000	0
78000	89
24500	0
56500	22
88500	120
3000	0
35000	0
67000	55
13500	0
45500	0
77500	88
24000	0
56000	21
88000	120
2500	0
34500	0
66500	53
13000	0
45000	0
77000	86
23500	0
55500	19
87500	120
2000	0
34000	0
66000	52
12500	0
44500	0
76500	85
23000	0
55000	17
87000	119
1500	0
33500	0
65500	50
12000	0
44000	0
76000	83
22500	0
54500	16
86500	117
1000	0
33000	0
65000	48
11500	0
43500	0
75500	82
22000	0
54000	15
86000	115
500	0
32500	0
64500	47
11000	0
43000	0
75000	80
21500	0
53500	13
85500	114

