Contact	Latencies
32000	4246.7000
64000	7258.6971
10500	NaN
42500	4521.2000
74500	8077.3342
21000	2234.6600
53000	5886.1375
85000	8077.3342
31500	4246.7000
63500	7258.6971
10000	NaN
42000	4662.7780
74000	7849.4194
20500	2234.6600
52500	5886.1375
84500	8077.3342
31000	4246.7000
63000	7258.6971
9500	NaN
41500	4662.7780
73500	7849.4194
20000	2234.6600
52000	5903.8444
84000	8077.3342
30500	4293.6875
62500	7258.6971
9000	NaN
41000	4662.7780
73000	7849.4194
19500	2234.6600
51500	5978.7082
83500	8077.3342
30000	4293.6875
62000	7258.6971
8500	NaN
40500	4688.6575
72500	7528.3070
19000	2234.6600
51000	5978.7082
83000	8077.3342
29500	3793.9364
61500	6961.1493
8000	NaN
40000	4591.2615
72000	7528.3070
18500	2234.6600
50500	5972.9883
82500	8077.3342
29000	3793.9364
61000	6961.1493
7500	NaN
39500	4577.5026
71500	7528.3070
18000	1361.5333
50000	5972.9883
82000	8077.3342
28500	3793.9364
60500	6961.1493
7000	NaN
39000	4577.5026
71000	7528.3070
17500	1413.3000
49500	5817.6638
81500	8077.3342
28000	4158.1263
60000	6961.1493
6500	NaN
38500	4577.5026
70500	7528.3070
17000	943.4000
49000	5105.2400
81000	8077.3342
27500	4158.1263
59500	6613.9941
6000	NaN
38000	4577.5026
70000	7528.3070
16500	NaN
48500	5180.1148
80500	8077.3342
27000	3904.8611
59000	6613.9941
91000	8077.3342
5500	NaN
37500	4748.0083
69500	7528.3070
16000	NaN
48000	5180.1148
80000	8077.3342
26500	3869.3529
58500	6613.9941
90500	8077.3342
5000	NaN
37000	4856.0571
69000	7528.3070
15500	NaN
47500	5241.2774
79500	8077.3342
26000	3869.3529
58000	6613.9941
90000	8077.3342
4500	NaN
36500	4856.0571
68500	7528.3070
15000	NaN
47000	5183.5442
79000	8077.3342
25500	3777.3400
57500	6613.9941
89500	8077.3342
4000	NaN
36000	4772.1364
68000	7528.3070
14500	NaN
46500	5183.5442
78500	8077.3342
25000	3709.8846
57000	6465.0851
89000	8077.3342
3500	NaN
35500	4772.1364
67500	7528.3070
14000	NaN
46000	5037.5706
78000	8077.3342
24500	3709.8846
56500	6207.1106
88500	8077.3342
3000	NaN
35000	4772.1364
67000	7528.3070
13500	NaN
45500	4856.6000
77500	8077.3342
24000	3997.7818
56000	6207.1106
88000	8077.3342
2500	NaN
34500	4824.6062
66500	7258.6971
13000	NaN
45000	4856.6000
77000	8077.3342
23500	3997.7818
55500	5898.5523
87500	8077.3342
2000	NaN
34000	4678.7033
66000	7258.6971
12500	NaN
44500	4856.6000
76500	8077.3342
23000	4196.6000
55000	5898.5523
87000	8077.3342
1500	NaN
33500	4320.7148
65500	7258.6971
12000	NaN
44000	4941.0917
76000	8077.3342
22500	4252.5444
54500	5898.5523
86500	8077.3342
1000	NaN
33000	4156.2500
65000	7258.6971
11500	NaN
43500	4990.1178
75500	8077.3342
22000	2234.6600
54000	5898.5523
86000	8077.3342
500	NaN
32500	4246.7000
64500	7258.6971
11000	NaN
43000	4484.4568
75000	8077.3342
21500	2234.6600
53500	5898.5523
85500	8077.3342

