Contact	NrofDelivered
32000	25
64000	70
10500	0
42500	43
74500	73
21000	5
53000	64
85000	73
31500	25
63500	70
10000	0
42000	41
74000	72
20500	5
52500	64
84500	73
31000	25
63000	70
9500	0
41500	41
73500	72
20000	5
52000	63
84000	73
30500	24
62500	70
9000	0
41000	41
73000	72
19500	5
51500	61
83500	73
30000	24
62000	70
8500	0
40500	40
72500	71
19000	5
51000	61
83000	73
29500	22
61500	69
8000	0
40000	39
72000	71
18500	5
50500	60
82500	73
29000	22
61000	69
7500	0
39500	38
71500	71
18000	3
50000	60
82000	73
28500	22
60500	69
7000	0
39000	38
71000	71
17500	2
49500	58
81500	73
28000	19
60000	69
6500	0
38500	38
70500	71
17000	1
49000	55
81000	73
27500	19
59500	68
6000	0
38000	38
70000	71
16500	0
48500	54
80500	73
27000	18
59000	68
91000	73
5500	0
37500	36
69500	71
16000	0
48000	54
80000	73
26500	17
58500	68
90500	73
5000	0
37000	35
69000	71
15500	0
47500	53
79500	73
26000	17
58000	68
90000	73
4500	0
36500	35
68500	71
15000	0
47000	52
79000	73
25500	15
57500	68
89500	73
4000	0
36000	33
68000	71
14500	0
46500	52
78500	73
25000	13
57000	67
89000	73
3500	0
35500	33
67500	71
14000	0
46000	51
78000	73
24500	13
56500	66
88500	73
3000	0
35000	33
67000	71
13500	0
45500	49
77500	73
24000	11
56000	66
88000	73
2500	0
34500	32
66500	70
13000	0
45000	49
77000	73
23500	11
55500	65
87500	73
2000	0
34000	30
66000	70
12500	0
44500	49
76500	73
23000	10
55000	65
87000	73
1500	0
33500	27
65500	70
12000	0
44000	48
76000	73
22500	9
54500	65
86500	73
1000	0
33000	26
65000	70
11500	0
43500	45
75500	73
22000	5
54000	65
86000	73
500	0
32500	25
64500	70
11000	0
43000	44
75000	73
21500	5
53500	65
85500	73

